Crop,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall,pH,Temperature,Humidity
Beetroot,119,50,93,679.602594,5.397727,23.84707,89.314519
Beetroot,119,45,93,700.27057,5.365436,24.134742,83.461121
Beetroot,114,50,97,719.033029,5.405536,21.091247,76.316199
Beetroot,111,45,90,642.767471,5.577981,21.643756,76.199789
Beetroot,118,41,100,648.949851,5.606427,23.456834,84.045537
Beetroot,113,40,99,673.007669,5.334128,23.836403,78.980414
Beetroot,112,46,98,783.005544,5.667786,19.941543,82.834018
Beetroot,118,40,98,650.854993,5.665831,25.187266,75.008683
Beetroot,118,46,98,651.084532,5.584762,25.255667,88.377309
Beetroot,111,45,99,798.107551,5.414855,21.034459,86.371521
Beetroot,110,44,95,753.776869,5.627104,25.551783,87.10736
Beetroot,119,49,91,748.588236,5.574414,18.160225,73.492827
Beetroot,114,47,93,784.410383,5.449462,29.457269,82.963575
Beetroot,116,45,96,673.911733,5.64993,22.629035,86.102688
Beetroot,113,47,94,747.14464,5.498939,23.541253,72.432488
Beetroot,116,42,94,672.827653,5.307762,29.50842,85.162546
Beetroot,114,40,96,714.648467,5.352702,28.931925,86.293465
Beetroot,118,49,91,661.062357,5.631031,20.141902,81.177544
Beetroot,119,47,94,703.300922,5.599948,21.144214,88.765523
Beetroot,117,47,92,719.441942,5.627398,19.363143,74.344214
Beetroot,117,43,92,689.858178,5.373748,18.698234,84.849334
Beetroot,119,48,91,618.831521,5.439218,26.14279,71.890617
Beetroot,111,46,95,630.611792,5.637843,18.424375,76.88518
Beetroot,112,47,91,779.717027,5.620545,23.602312,76.447455
Beetroot,112,40,98,634.571061,5.443138,20.808761,80.806334
Beetroot,115,42,90,694.049032,5.640625,26.829325,83.031754
Beetroot,117,42,94,772.639911,5.401299,22.416596,82.145738
Beetroot,112,43,99,670.974806,5.517498,21.756754,81.861781
Beetroot,116,44,91,783.306969,5.368898,28.129531,79.569319
Beetroot,116,43,90,639.118959,5.656687,25.672827,88.098914
Beetroot,116,46,100,639.099442,5.583096,28.105771,84.102164
Beetroot,110,48,98,626.829082,5.656392,25.920003,81.663745
Beetroot,114,43,100,736.022726,5.500684,19.917079,72.069221
