Vegetable,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall (mm),pH,Temperature,Humidity
Peas,149,108,135,190.778881,5.699492,18.781453,65.25429
Peas,149,115,134,183.666948,6.534578,18.080073,63.242611
Beans,147,127,141,218.552087,6.838866,18.471494,67.890419
Spinach,160,134,163,206.859165,6.733207,17.184754,63.027145
Brussels sprouts,199,170,199,216.551025,6.245567,19.185033,69.199324
Cucumbers,158,138,151,215.892951,6.073384,22.649154,67.325051
Cucumbers,153,125,160,217.283223,6.449089,25.915208,60.078735
Peas,144,105,131,196.283566,5.8747,16.158391,63.323001
Peas,150,103,137,195.103949,6.05044,16.092604,65.475518
Celery,138,101,148,170.175077,7.203422,16.725462,72.510653
Celery,140,108,130,167.576174,7.179951,19.19462,75.806861
Carrots,126,103,102,188.376586,7.278236,15.808876,75.390094
Cucumbers,150,130,150,218.008401,6.55448,25.651757,60.374729
Spinach,157,125,171,204.448156,6.502306,19.800727,67.150994
Lettuce,170,116,162,208.256297,6.755855,23.947221,66.976222
Tomatoes,168,155,194,233.891371,6.691474,25.375138,65.813924
Lettuce,153,110,157,201.591223,5.686997,23.918422,64.398744
Chinese cabbage,188,150,170,208.667994,6.610495,22.366947,68.164982
Carrots,129,106,110,188.761254,6.784322,19.186172,72.691913
Spinach,143,140,178,196.873206,5.924356,15.53347,66.381945
Bell peppers,144,113,162,195.617662,6.228127,21.248042,61.177007
Cucumbers,150,138,157,206.34619,5.739651,22.331273,63.525762
Brussels sprouts,200,164,196,227.1524,5.574812,16.292501,69.279088
Celery,136,110,138,171.933807,6.943167,19.723912,73.64976
Peas,144,113,127,194.243892,6.265586,17.033693,68.118616
Kale,159,110,133,203.651312,6.804092,16.472428,68.828373
Beans,151,116,141,205.972615,6.753907,22.515719,63.711122
Cucumbers,165,138,158,209.008699,5.967833,25.135618,61.369738
Zucchini,176,144,158,237.941104,6.626203,21.525411,64.901357
Beans,147,130,131,211.434443,6.048226,20.761982,65.290184
Radishes,117,83,106,153.952065,6.653878,20.931519,63.982481
Carrots,139,102,114,184.696417,6.379853,15.052502,76.861758
Radishes,127,96,120,163.867521,6.459601,20.681213,68.780986
Cauliflower,188,131,178,194.728006,6.189977,20.07894,60.312668
Radishes,119,83,118,153.783674,5.659649,20.887329,64.699911
